report_date,month,category,sr_no,instrument_name,isin,industry_sector,quantity,market_value_lakhs,pct_nav
2016-01-31,January,Core Equity,1,Axis Bank Ltd,INE238A01034,Banks,627579.0,2563.0326,4.175
2016-01-31,January,Core Equity,2,Balkrishna Industries Ltd,INE787D01026,Auto Ancillaries,229215.0,1394.8879,2.2722
2016-01-31,January,Core Equity,3,Gujarat Gas Ltd,INE844O01022,Gas,298660.0,1709.2312,2.7842
2016-01-31,January,Core Equity,4,HDFC Bank Ltd,INE040A01026,Banks,201255.0,2112.8756,3.4418
2016-01-31,January,Core Equity,5,ICICI Bank Ltd,INE090A01021,Banks,1026870.0,2363.3413,3.8498
2016-01-31,January,Core Equity,6,ICRA Ltd,INE725G01011,Finance,88428.0,3407.0866,5.55
2016-01-31,January,Core Equity,7,IL&FS Investment Managers Ltd,INE050B01023,Finance,11370900.0,2046.762,3.3341
2016-01-31,January,Core Equity,8,Indraprastha Gas Ltd,INE203G01019,Gas,353400.0,1978.5099,3.2229
2016-01-31,January,Core Equity,9,IPCA Laboratories Ltd,INE571A01020,Pharmaceuticals,186663.0,1248.6821,2.034
2016-01-31,January,Core Equity,10,Maharashtra Scooters Ltd,INE288A01013,Auto Ancillaries,388489.0,4737.8176,7.7176
2016-01-31,January,Core Equity,11,Mahindra Holidays & Reorts India Ltd,INE998I01010,"Hotels, Resorts And Other Recreational Activities",574281.0,2289.0841,3.7288
2016-01-31,January,Core Equity,12,Mphasis Ltd(prev)Mphasis BFL Ltd,INE356A01018,Software,363500.0,1658.1053,2.701
2016-01-31,January,Core Equity,13,MT Educare Ltd,INE472M01018,Diversified Consumer Services,178078.0,293.3835,0.4779
2016-01-31,January,Core Equity,14,Noida Toll Bridge Company Ltd,INE781B01015,Transportation,8748218.0,2064.5794,3.3631
2016-01-31,January,Core Equity,15,Persistent Systems Ltd,INE262H01013,Software,428244.0,2838.8295,4.6243
2016-01-31,January,Core Equity,16,Pfizer (I) Ltd,INE182A01018,Pharmaceuticals,33600.0,751.38,1.224
2016-01-31,January,Core Equity,17,Selan Exploration Technology Ltd,INE818A01017,Oil,168012.0,323.3391,0.5267
2016-01-31,January,Core Equity,18,Standard Chartered PLC IDR,INE028L21018,Banks,244992.0,111.9613,0.1824
2016-01-31,January,Core Equity,19,Zydus Wellness Ltd,INE768C01010,Consumer Non Durables,370018.0,2771.8048,4.5151
2016-01-31,January,Special Situation / Arbitrage,20,Cipla Ltd,INE059A01026,Pharmaceuticals,142400.0,833.1824,1.3572
2016-01-31,January,Special Situation / Arbitrage,21,Tata Motors Ltd,INE155A01022,Auto,300000.0,1010.7,1.6464
2016-01-31,January,Special Situation / Arbitrage,22,Yes Bank Ltd,INE528G01019,Banks,280000.0,2091.04,3.4062
2016-01-31,January,Foreign Equity / ADRs,26,3M CO,US88579Y1010,Industrial Conglomerates,17755.0,1773.0296,2.8882
2016-01-31,January,Foreign Equity / ADRs,27,Alphabet INC,US02079K1079,Internet Software & Services,16593.0,8221.5201,13.3924
2016-01-31,January,Foreign Equity / ADRs,28,Anheuser Busch Inbev SA-ADR,US03524A1088,Brewers,8316.0,689.4052,1.123
2016-01-31,January,Foreign Equity / ADRs,29,International Business Machines Corp,US4592001014,IT Consulting & Other Services,20895.0,1731.0845,2.8198
2016-01-31,January,Foreign Equity / ADRs,30,Nestle SA-ADR,US6410694060,Packaged Foods,37010.0,1801.7648,2.935
2016-01-31,January,Foreign Equity / ADRs,31,Standard Chartered PLC,GB0004082847,Diversified Banks,32218.0,143.5656,0.2339
2016-01-31,January,Foreign Equity / ADRs,32,United Parcel Services INC,US9113121068,Logistics,39675.0,2447.3266,3.9866
2016-02-29,February,Core Equity,1,Axis Bank Ltd,INE238A01034,Bank,627579.0,2358.1281,4.0123
2016-02-29,February,Core Equity,2,Balkrishna Industries Ltd,INE787D01026,Auto Ancillaries,229215.0,1306.5255,2.223
2016-02-29,February,Core Equity,3,Gujarat Gas Ltd,INE844O01022,Gas,298660.0,1437.0026,2.445
2016-02-29,February,Core Equity,4,HDFC Bank Ltd,INE040A01026,Bank,248370.0,2413.7838,4.107
2016-02-29,February,Core Equity,5,ICICI Bank Ltd,INE090A01021,Bank,1026870.0,1951.5664,3.3205
2016-02-29,February,Core Equity,6,ICRA Ltd,INE725G01011,Finance,88428.0,3283.3759,5.5865
2016-02-29,February,Core Equity,7,IL&FS Investment Managers Ltd,INE050B01023,Finance,11370900.0,1745.4332,2.9698
2016-02-29,February,Core Equity,8,Indraprastha Gas Ltd,INE203G01019,Gas,353400.0,1796.5089,3.0567
2016-02-29,February,Core Equity,9,IPCA Laboratories Ltd,INE571A01020,Pharmaceuticals,206663.0,1167.1293,1.9858
2016-02-29,February,Core Equity,10,Maharashtra Scooters Ltd,INE288A01013,Auto Ancillaries,388489.0,4396.3358,7.4802
2016-02-29,February,Core Equity,11,Mahindra Holidays & Reorts India Ltd,INE998I01010,"Hotels,Resorts And Other",574281.0,2075.7387,3.5318
2016-02-29,February,Core Equity,12,Mphasis Ltd(prev)Mphasis BFL Ltd,INE356A01018,Software,363500.0,1528.881,2.6013
2016-02-29,February,Core Equity,13,MT Educare Ltd,INE472M01018,Diversified Consumer Services,178078.0,249.3092,0.4242
2016-02-29,February,Core Equity,14,Noida Toll Bridge Company Ltd,INE781B01015,Transportation,8748218.0,1946.4785,3.3119
2016-02-29,February,Core Equity,15,Persistent Systems Ltd,INE262H01013,Software,430073.0,2613.5536,4.4469
2016-02-29,February,Core Equity,16,Pfizer (I) Ltd,INE182A01018,Pharmaceuticals,33600.0,618.3576,1.0521
2016-02-29,February,Core Equity,17,Selan Exploration Technology Ltd,INE818A01017,Oil,168012.0,258.7385,0.4402
2016-02-29,February,Core Equity,18,Standard Chartered PLC IDR,INE028L21018,Bank,244992.0,97.0168,0.1651
2016-02-29,February,Core Equity,19,Zydus Wellness Ltd,INE768C01010,Consumer Non Durables,371395.0,2397.5404,4.0793
2016-02-29,February,Special Situation / Arbitrage,20,Cipla Ltd,INE059A01026,Pharmaceuticals,142400.0,732.1496,1.2457
2016-02-29,February,Special Situation / Arbitrage,21,Infosys Ltd,INE009A01021,Software,30000.0,325.215,0.5533
